Date,Open,High,Low,Close,Adj Close,Volume
2022-07-18,26.900000,27.180000,26.020000,26.120001,25.911457,6260100
2022-07-19,26.250000,27.150000,26.110001,26.959999,26.744751,7068400
2022-07-20,27.000000,27.180000,25.770000,25.990000,25.782495,14736400
2022-07-21,26.049999,26.070000,25.010000,25.330000,25.127764,12130500
2022-07-22,25.490000,26.240000,25.180000,25.840000,25.633694,10870400
2022-07-25,25.920000,26.780001,25.900000,26.480000,26.403406,10255700
2022-07-26,26.490000,26.700001,26.120001,26.200001,26.124218,6015000
2022-07-27,26.379999,26.879999,26.260000,26.870001,26.792280,5446300
2022-07-28,26.969999,28.139999,26.910000,27.930000,27.849215,9270700
2022-07-29,27.910000,28.639999,27.879999,28.040001,27.958895,10100100
2022-08-01,28.040001,28.680000,27.770000,27.879999,27.799356,8202200
2022-08-02,27.850000,28.600000,27.719999,28.379999,28.297911,7214800
2022-08-03,28.360001,28.480000,27.879999,28.120001,28.038664,6627100
2022-08-04,28.379999,28.870001,28.100000,28.809999,28.726667,5433900
2022-08-05,28.750000,29.139999,28.629999,28.830000,28.746611,4063300
2022-08-08,29.260000,30.190001,29.170000,29.730000,29.644007,9073300
2022-08-09,29.840000,30.139999,29.190001,29.580000,29.494440,6007000
2022-08-10,29.959999,30.930000,29.799999,30.680000,30.591259,8105700
2022-08-11,30.920000,30.990000,29.900000,30.129999,30.042849,6286900
2022-08-12,30.320000,30.959999,29.950001,30.900000,30.810621,8429300
2022-08-15,30.730000,31.000000,30.150000,30.340000,30.252241,7390400
2022-08-16,30.340000,30.940001,30.340000,30.590000,30.501520,5016200
2022-08-17,30.410000,30.670000,29.959999,30.430000,30.341982,6125800
2022-08-18,30.530001,31.070000,30.490000,30.840000,30.750797,4327000
2022-08-19,30.680000,30.980000,29.750000,29.850000,29.763660,7775300
2022-08-22,29.559999,29.620001,28.809999,28.950001,28.866264,7237300
2022-08-23,28.940001,29.040001,28.530001,28.799999,28.716696,8786300
2022-08-24,28.850000,29.280001,28.740000,28.790001,28.706726,5426700
2022-08-25,29.030001,29.379999,28.860001,28.950001,28.866264,5546600
2022-08-26,29.180000,29.230000,28.610001,28.809999,28.726667,6257700
2022-08-29,28.680000,28.719999,28.059999,28.370001,28.287941,6306200
2022-08-30,28.480000,28.620001,28.090000,28.389999,28.307882,11887500
2022-08-31,28.670000,28.760000,28.200001,28.290001,28.208172,11184100
2022-09-01,28.280001,28.639999,27.600000,28.379999,28.297911,7750600
2022-09-02,28.580000,30.280001,28.400000,30.209999,30.122616,15536400
2022-09-05,30.379999,31.420000,30.309999,30.900000,30.810621,7376200
2022-09-06,30.920000,31.190001,30.020000,30.290001,30.202387,7818500
2022-09-08,30.290001,30.690001,29.700001,30.209999,30.122616,6160600
2022-09-09,30.299999,30.870001,30.290001,30.450001,30.361925,3199600
2022-09-12,30.750000,32.230000,30.680000,31.799999,31.708017,8149600
2022-09-13,31.270000,31.510000,30.420000,30.610001,30.521461,7885400
2022-09-14,30.590000,30.910000,30.280001,30.620001,30.531433,4667700
2022-09-15,30.549999,30.559999,29.820000,30.010000,29.923197,3266400
2022-09-16,29.799999,30.639999,29.500000,30.480000,30.391836,12522000
2022-09-19,30.440001,30.980000,30.059999,30.600000,30.511490,5470400
2022-09-20,30.670000,31.440001,30.650000,31.129999,31.039955,7372000
2022-09-21,31.000000,31.559999,30.670000,31.180000,31.089811,6342700
2022-09-22,31.350000,31.389999,30.080000,31.010000,30.920303,8889000
2022-09-23,30.420000,30.680000,30.139999,30.570000,30.481577,5895500
2022-09-26,30.570000,30.570000,30.570000,30.570000,30.525631,0
